country,Max_city,Max_col,min_city,min_col
Afghanistan,Gardez,68503.08,Kabul,51256.67
Albania,Peshkopi,66490.28,Berat,37468.95
Algeria,"El Bayadh",69614.75,Batna,41660.03
"American Samoa","Pago Pago",67910.2,"Pago Pago",67910.2
Andorra,Escaldes-Engordany,72182.28,"Andorra la Vella",67095.41
Angola,Caluquembe,68541.36,Luanda,60462.91
Anguilla,"The Valley",66261.52,"The Valley",66261.52
"Antigua And Barbuda","Saint John's",65048.45,"Saint John's",65048.45
Argentina,Corrientes,73500.61,Parana,42631.38
Armenia,Abovyan,70146.81,Gyumri,61586.49
Aruba,Oranjestad,76080.19,Oranjestad,76080.19
Australia,"Wagga Wagga",75835.71,Bundaberg,49323.58
Austria,Salzburg,73454.32,"Sankt Polten",62544.84
Azerbaijan,Samkir,66822.34,Naxcivan,42899.43
Bahamas,Nassau,71322.33,Nassau,71322.33
Bahrain,Manama,64306.49,"Al Muharraq",56888.91
Bangladesh,Narsingdi,69113.67,Tangail,44373.82
Barbados,Bridgetown,63224.16,Bridgetown,63224.16
Belarus,Luninyets,74083.89,Baranavichy,49831.5
Belgium,Spa,81859.53,Mortsel,55855.05
Belize,"San Ignacio",69405.56,Belmopan,63190.35
Benin,Cotonou,58954.82,Cotonou,58954.82
Bermuda,Hamilton,68818.83,Hamilton,68818.83
Bhutan,Paro,50955.91,Thimphu,44388.39
Bolivia,"San Ignacio de Velasco",68496.99,Sucre,35893.21
"Bosnia And Herzegovina",Bugojno,65504.32,"Banja Luka",43580.29
Botswana,"Selibe Phikwe",64177.25,Gaborone,45902.61
Brazil,"Mogi das Cruzes",84646.12,Mage,34524.32
"British Virgin Islands","Road Town",64099.83,"Road Town",64099.83
Brunei,"Bandar Seri Begawan",64090.95,"Kuala Belait",58055.74
Bulgaria,Samokov,68363.71,"Veliko Tarnovo",41936.02
"Burkina Faso",Ouagadougou,59193.81,Ouagadougou,59193.81
Burundi,Bujumbura,48124.33,Bujumbura,48124.33
Cambodia,"Svay Rieng",68019.23,Kampot,54158.49
Cameroon,Ngaoundere,68454.58,Yaounde,45068.46
Canada,Orillia,80363.86,Truro,47163.65
"Cape Verde","Cidade Velha",67978.93,Praia,59741.17
Chad,N'Djamena,49416.9,N'Djamena,49416.9
Chile,Victoria,68524.58,Concepcion,36097.82
China,Suzhou,77025.81,Harbin,46761.5
Colombia,Cartago,68175.32,Tunja,30795.42
Comoros,Moroni,68496.73,Moroni,68496.73
Congo,Brazzaville,73787.83,Goma,65791.48
"Cook Islands",Avarua,64087.65,Avarua,64087.65
"Costa Rica",Alajuela,65235.82,Heredia,60517.12
Croatia,Dubrovnik,67834.07,Vukovar,43878.71
Cuba,Bayamo,68390.25,Havana,60947.05
Curacao,Willemstad,73899.97,Willemstad,73899.97
Cyprus,Larnaca,74832.36,Famagusta,40496.47
"Czech Republic","Uhersky Brod",80804.52,Jihlava,45226.79
Denmark,Vejle,75782.44,Frederikshavn,62654.01
Djibouti,"Ali Sabieh",53763.37,Djibouti,49884.34
Dominica,Roseau,65064.18,Roseau,65064.18
"Dominican Republic","Santo Domingo",78730.95,"San Francisco de Macoris",56094
Ecuador,Loja,73895.82,"Puerto Ayora",56121.59
Egypt,Abnub,63648.35,Damietta,32830.65
"El Salvador",Sonsonate,58474.24,"Santa Tecla",49307.44
"Equatorial Guinea",Bata,65406.8,Malabo,63936.84
Eritrea,Asmara,55178.94,Asmara,55178.94
Estonia,Tallinn,68480.9,Kuressaare,48770.38
Ethiopia,"Addis Ababa",72087.39,"Debre Zeyit",62187.66
"Falkland Islands",Stanley,69886.5,Stanley,69886.5
"Faroe Islands",Klaksvik,68442.56,Nordhragota,61060.58
Fiji,Lautoka,53608.18,Nausori,52703.53
Finland,Helsinki,85071.83,Hyvinkaa,57726.85
France,Antibes,88989.63,Chartres,49499.1
"French Guiana",Cayenne,62249.32,Cayenne,62249.32
"French Polynesia",Papeete,64302.52,Papeete,64302.52
Gabon,Libreville,68842.32,Libreville,68842.32
Gambia,Brikama,57972.98,Banjul,56038.42
Georgia,Samtredia,57055.56,Batumi,37780.19
Germany,Bielefeld,85628.63,Oberhausen,47740.98
Ghana,Ho,61830.65,Kumasi,53247.43
Gibraltar,Gibraltar,91841.81,Gibraltar,91841.81
Greece,"Agia Paraskevi",70564.12,Volos,46304.83
Greenland,Nuuk,70146.34,Sisimiut,68524.58
Guadeloupe,Pointe-a-Pitre,64898.56,Pointe-a-Pitre,64898.56
Guatemala,Chiquimula,60133.59,Quetzaltenango,46563.96
Guinea,Conakry,61002.43,Conakry,61002.43
Guinea-Bissau,Bissau,62779.87,Bissau,62779.87
Guyana,Vreed-en-Hoop,60898.96,Georgetown,41552.52
Haiti,Carrefour,68528.43,Petion-Ville,64005.65
Honduras,Yoro,69937.47,Choloma,40071.92
"Hong Kong","Hong Kong",88037.58,"Hong Kong",88037.58
Hungary,Komlo,68515.43,Dunaujvaros,36635.72
Iceland,Reykjavik,77662.08,Hafnarfjordhur,63160.51
India,Silchar,68470.41,Patiala,31654.73
Indonesia,Cirebon,79372.79,Surakarta,38638.46
Iran,"Shahr-e Kord",65036.92,Gorgan,51648.83
Iraq,"As Samawah",68298.24,Kirkuk,36226.84
Ireland,Galway,88027.6,Tralee,68779.3
"Isle Of Man",Douglas,74691.38,Douglas,74691.38
Israel,"Or Yehuda",77199.69,"Yoqne`am `Illit",62759.73
Italy,Como,85629.92,Terni,50747.18
"Ivory Coast",Bouake,69009.1,Abidjan,64236.77
Jamaica,"Half Way Tree",63289.67,"Saint Ann's Bay",51716.19
Japan,Morioka,73110.12,Okinawa,47844.49
Jersey,"Saint Helier",79619.88,"Saint Helier",79619.88
Jordan,Amman,68584.24,Madaba,43949.27
Kazakhstan,Rudnyy,68495.65,Oskemen,39899.62
Kenya,Kisii,68425.1,Meru,35114.63
"Kosovo (Disputed Territory)",Viti,67214.53,Podujeve,37943.76
Kuwait,"Kuwait City",59541.31,"Al Jahra'",51107.02
Kyrgyzstan,Cholpon-Ata,61634.78,Osh,42077
Laos,Savannakhet,68524.58,Vientiane,59329.46
Latvia,Saldus,68400.27,Daugavpils,43244.41
Lebanon,Beirut,59236.52,Sidon,50501.9
Lesotho,Maseru,53307.21,Maseru,53307.21
Liberia,"Fish Town",68512.57,Greenville,51165.16
Libya,Murzuq,68524.58,"Az Zawiyah",36912.1
Liechtenstein,Ruggell,82235.32,Triesen,77954.85
Lithuania,Vilnius,69103.08,Visaginas,46473.07
Luxembourg,Luxembourg,77151.23,Echternach,68116.93
Madagascar,Toliara,68524.58,Antananarivo,53674.06
Malawi,Lilongwe,66490.78,Blantyre,57411.51
Malaysia,Kluang,81948.73,"Kuala Lipis",48092.1
Maldives,Kulhudhuffushi,68452.29,Male,61753.93
Mali,Bamako,70438.48,Bamako,70438.48
Malta,Swieqi,81718.95,Naxxar,57037.76
"Marshall Islands",Majuro,41260.9,Majuro,41260.9
Martinique,Fort-de-France,68597.82,Fort-de-France,68597.82
Mauritania,Nouakchott,59907.76,Nouakchott,59907.76
Mauritius,"Centre de Flacq",65451.53,Curepipe,58214.7
Mexico,"Poza Rica de Hidalgo",68524.58,"Tixtla de Guerrero",34217.52
Moldova,Taraclia,68351.97,Tiraspol,36447.88
Monaco,Monaco,64212.97,Monaco,64212.97
Mongolia,Erdenet,65612.73,Mandalgovi,40780.04
Montenegro,Ulcinj,73922.76,Cetinje,41781.51
Montserrat,Brades,60776.05,Brades,60776.05
Morocco,Essaouira,65832.03,Kouribga,38299.08
Mozambique,Xai-Xai,73318.26,Beira,68481.41
Myanmar,Pyu,68524.58,Mandalay,60849.65
Namibia,Windhoek,56378.55,Swakopmund,38964.49
Nauru,Yaren,67463.99,Yaren,67463.99
Nepal,Tulsipur,67618.64,Biratnagar,49308.47
Netherlands,Amsterdam,88601.99,Beverwijk,60073.98
"New Caledonia",Noumea,75401.38,Noumea,75401.38
"New Zealand",Dunedin,76716.8,"Palmerston North",59990.36
Nicaragua,Diriamba,70225.4,Matagalpa,44820.74
Niger,Niamey,61016.59,Niamey,61016.59
Nigeria,Abuja,68709.54,Makurdi,45294.97
"North Korea",Pyongyang,75782.66,Pyongyang,75782.66
